frame,left_hand,right_hand,left_bbox,right_bbox
frame_000001,"[(469.1567077636719, 411.8211669921875), (469.4229278564453, 412.4986877441406), (469.78053283691406, 412.5917053222656), (470.10475158691406, 413.09332275390625), (470.45166015625, 413.42640686035156), (470.45166015625, 413.42640686035156), (470.95152282714844, 413.11997985839844), (471.043212890625, 414.3573303222656), (471.07945251464844, 414.34645080566406), (471.6600799560547, 414.26133728027344)]","[(702.5675048828125, 519.2805633544922), (702.6436462402344, 519.7375030517578), (703.0813598632812, 519.9576110839844), (703.3063659667969, 520.3098754882812), (703.6979675292969, 520.6490325927734), (703.6979675292969, 520.6490325927734), (703.8524169921875, 520.5052947998047), (704.2060241699219, 521.4402160644531), (704.0120239257812, 521.3968505859375), (704.6327209472656, 521.5200347900391)]","[(340.16400146484375, 256.3841552734375, 257.98541259765625, 310.8740234375), (340.2288513183594, 257.13092041015625, 258.3881530761719, 310.73553466796875), (340.5497741699219, 257.11236572265625, 258.4615173339844, 310.95867919921875), (341.0411682128906, 257.74896240234375, 258.1271667480469, 310.688720703125), (340.916748046875, 257.9088439941406, 259.06982421875, 311.0351257324219), (340.916748046875, 257.9088439941406, 259.06982421875, 311.0351257324219), (341.0007019042969, 257.7015686035156, 259.9016418457031, 310.8368225097656), (341.2978515625, 258.68524169921875, 259.49072265625, 311.34417724609375), (341.0793151855469, 258.6274719238281, 260.0002746582031, 311.4379577636719), (341.7194519042969, 258.4723815917969, 259.8812561035156, 311.5779113769531)]","[(609.03955078125, 385.3572082519531, 187.055908203125, 267.8467102050781), (608.9849243164062, 385.8311462402344, 187.31744384765625, 267.8127136230469), (609.44384765625, 386.01092529296875, 187.2750244140625, 267.89337158203125), (609.6187744140625, 386.58831787109375, 187.37518310546875, 267.443115234375), (609.8786010742188, 386.7287292480469, 187.63873291015625, 267.8406066894531), (609.8786010742188, 386.7287292480469, 187.63873291015625, 267.8406066894531), (609.7284545898438, 386.6197814941406, 188.2479248046875, 267.7710266113281), (610.2693481445312, 387.42864990234375, 187.87335205078125, 268.02313232421875), (609.9044189453125, 387.26226806640625, 188.2152099609375, 268.2691650390625), (610.6235961914062, 387.4405822753906, 188.01824951171875, 268.1589050292969)]"
frame_000002,"[(470.18910217285156, 411.6974639892578), (470.5436096191406, 412.08982849121094), (470.72752380371094, 412.6034851074219), (471.4305725097656, 412.70928955078125), (471.4305725097656, 412.70928955078125), (471.760009765625, 413.085693359375), (471.68060302734375, 413.7786865234375), (471.5592803955078, 413.9219512939453), (471.9232482910156, 414.0271911621094), (471.7872619628906, 413.97447204589844)]","[(702.65478515625, 519.1793975830078), (702.9603576660156, 519.5073852539062), (703.1722717285156, 519.8898620605469), (703.660888671875, 520.0920562744141), (703.660888671875, 520.0920562744141), (703.8506164550781, 520.2984924316406), (703.8313293457031, 520.8358917236328), (703.9062805175781, 521.0065307617188), (703.7511596679688, 521.023681640625), (704.0322570800781, 521.2145843505859)]","[(341.0090026855469, 256.2198791503906, 258.3601989746094, 310.9551696777344), (341.39874267578125, 256.5697326660156, 258.28973388671875, 311.0401916503906), (341.6994323730469, 257.21588134765625, 258.0561828613281, 310.77520751953125), (341.966796875, 257.130126953125, 258.92755126953125, 311.1583251953125), (341.966796875, 257.130126953125, 258.92755126953125, 311.1583251953125), (342.1943359375, 257.76556396484375, 259.13134765625, 310.6402587890625), (342.2347412109375, 258.2379150390625, 258.8917236328125, 311.08154296875), (341.5589294433594, 258.4259338378906, 260.0007019042969, 310.9920349121094), (342.286376953125, 258.37530517578125, 259.27374267578125, 311.30377197265625), (342.15020751953125, 258.1278381347656, 259.27410888671875, 311.6932678222656)]","[(609.0592041015625, 385.1994323730469, 187.191162109375, 267.9599304199219), (609.3681030273438, 385.52618408203125, 187.18450927734375, 267.96240234375), (609.6586303710938, 386.08807373046875, 187.02728271484375, 267.60357666015625), (609.8812255859375, 386.1042785644531, 187.559326171875, 267.9755554199219), (609.8812255859375, 386.1042785644531, 187.559326171875, 267.9755554199219), (609.826416015625, 386.6810302734375, 188.04840087890625, 267.23492431640625), (610.008544921875, 386.9295349121094, 187.64556884765625, 267.8127136230469), (609.7868041992188, 387.168701171875, 188.23895263671875, 267.6756591796875), (609.8262329101562, 386.9395751953125, 187.849853515625, 268.168212890625), (610.3079223632812, 387.0080871582031, 187.44866943359375, 268.4129943847656)]"
frame_000003,"[(470.2207946777344, 411.6562042236328), (470.58642578125, 412.0124053955078), (470.8561096191406, 412.23638916015625), (470.8561096191406, 412.23638916015625), (471.3352355957031, 412.7213134765625), (471.8323974609375, 413.3858642578125), (471.6867218017578, 413.64378356933594), (470.99961853027344, 413.5062561035156), (471.1377258300781, 413.47706604003906), (471.1377258300781, 413.47706604003906)]","[(703.6867065429688, 519.1408843994141), (703.9483337402344, 519.4098815917969), (704.2118225097656, 519.6264495849609), (704.2118225097656, 519.6264495849609), (704.5823059082031, 519.9447021484375), (704.6032104492188, 520.3927307128906), (704.9631652832031, 520.8125915527344), (704.3308715820312, 520.6927032470703), (704.3285217285156, 520.6821746826172), (704.3285217285156, 520.6821746826172)]","[(341.13427734375, 256.1301574707031, 258.17303466796875, 311.0520935058594), (341.4229736328125, 256.5417175292969, 258.326904296875, 310.9413757324219), (341.5921630859375, 256.6771240234375, 258.52789306640625, 311.1185302734375), (341.5921630859375, 256.6771240234375, 258.52789306640625, 311.1185302734375), (341.98779296875, 257.1754150390625, 258.69488525390625, 311.091796875), (342.3818359375, 257.91033935546875, 258.901123046875, 310.9510498046875), (341.7640075683594, 257.9811706542969, 259.8454284667969, 311.3252258300781), (341.7527770996094, 257.8248291015625, 258.4936828613281, 311.36285400390625), (341.77294921875, 257.6082458496094, 258.72955322265625, 311.7376403808594), (341.77294921875, 257.6082458496094, 258.72955322265625, 311.7376403808594)]","[(610.1333618164062, 385.1263732910156, 187.106689453125, 268.0290222167969), (610.3485107421875, 385.44659423828125, 187.19964599609375, 267.92657470703125), (610.535888671875, 385.6269836425781, 187.35186767578125, 267.9989318847656), (610.535888671875, 385.6269836425781, 187.35186767578125, 267.9989318847656), (610.8910522460938, 386.02996826171875, 187.38250732421875, 267.8294677734375), (610.7455444335938, 386.38714599609375, 187.71533203125, 268.01116943359375), (610.9976806640625, 386.7196044921875, 187.93096923828125, 268.18597412109375), (610.6464233398438, 386.6700744628906, 187.368896484375, 268.0452575683594), (610.5989379882812, 386.4537658691406, 187.45916748046875, 268.4568176269531), (610.5989379882812, 386.4537658691406, 187.45916748046875, 268.4568176269531)]"
frame_000004,"[(471.2809600830078, 412.6505432128906), (471.5522003173828, 412.9178466796875), (471.5522003173828, 412.9178466796875), (471.80201721191406, 413.25779724121094), (471.8403778076172, 413.8975067138672), (472.1943817138672, 413.9796600341797), (472.0605773925781, 414.3896942138672), (472.2666320800781, 413.9772186279297), (472.2666320800781, 413.9772186279297), (472.7678985595703, 415.0358428955078)]","[(703.7339782714844, 517.6270294189453), (703.9690856933594, 517.8534545898438), (703.9690856933594, 517.8534545898438), (704.1637878417969, 518.1222991943359), (704.2047119140625, 518.6356353759766), (704.4547119140625, 518.7211303710938), (704.3246459960938, 518.9842834472656), (704.4950561523438, 518.8434906005859), (704.4950561523438, 518.8434906005859), (705.0481567382812, 519.6987915039062)]","[(342.2050476074219, 257.1292724609375, 258.1518249511719, 311.04254150390625), (342.4140930175781, 257.39508056640625, 258.2762145996094, 311.0455322265625), (342.4140930175781, 257.39508056640625, 258.2762145996094, 311.0455322265625), (342.6285095214844, 257.7055358886719, 258.3470153808594, 311.1045227050781), (342.5802917480469, 258.3208312988281, 258.5201721191406, 311.1533508300781), (342.7945251464844, 258.4129943847656, 258.7997131347656, 311.1333312988281), (342.70556640625, 258.9702453613281, 258.71002197265625, 310.8388977050781), (342.64678955078125, 258.5308532714844, 259.23968505859375, 310.8927307128906), (342.64678955078125, 258.5308532714844, 259.23968505859375, 310.8927307128906), (343.0939025878906, 259.0268859863281, 259.3479919433594, 312.0179138183594)]","[(612.1930541992188, 386.1222229003906, 183.08184814453125, 263.0096130371094), (612.3849487304688, 386.37286376953125, 183.16827392578125, 262.961181640625), (612.3849487304688, 386.37286376953125, 183.16827392578125, 262.961181640625), (612.5565795898438, 386.6293640136719, 183.21441650390625, 262.9858703613281), (612.5425415039062, 387.1376647949219, 183.3243408203125, 262.9959411621094), (612.7195434570312, 387.24542236328125, 183.4703369140625, 262.951416015625), (612.60009765625, 387.6326904296875, 183.4490966796875, 262.70318603515625), (612.5482788085938, 387.5494689941406, 183.8935546875, 262.5880432128906), (612.5482788085938, 387.5494689941406, 183.8935546875, 262.5880432128906), (613.2672729492188, 387.95037841796875, 183.561767578125, 263.496826171875)]"
frame_000005,"[(471.18988037109375, 412.6489715576172), (471.18988037109375, 412.6489715576172), (471.48785400390625, 412.93115234375), (471.7909393310547, 413.44126892089844), (471.8083801269531, 413.72344970703125), (472.0320281982422, 413.76466369628906), (471.97267150878906, 414.0860137939453), (471.97267150878906, 414.0860137939453), (472.4598388671875, 414.22015380859375), (472.1853332519531, 414.7301788330078)]","[(704.1756591796875, 517.1353149414062), (704.1756591796875, 517.1353149414062), (704.408203125, 517.3557891845703), (704.6451110839844, 517.7604064941406), (704.6841125488281, 518.0174407958984), (704.8577880859375, 518.0807342529297), (704.822021484375, 518.358154296875), (704.822021484375, 518.358154296875), (704.9034423828125, 518.3958129882812), (704.9306945800781, 518.8587646484375)]","[(342.1328125, 257.1158752441406, 258.1141357421875, 311.0661926269531), (342.1328125, 257.1158752441406, 258.1141357421875, 311.0661926269531), (342.36895751953125, 257.361328125, 258.23779296875, 311.1396484375), (342.5486755371094, 257.8422546386719, 258.4845275878906, 311.1980285644531), (342.484375, 258.22381591796875, 258.64801025390625, 310.999267578125), (342.5123596191406, 257.9869079589844, 259.0393371582031, 311.5555114746094), (342.4053039550781, 258.4804992675781, 259.1347351074219, 311.2110290527344), (342.4053039550781, 258.4804992675781, 259.1347351074219, 311.2110290527344), (342.80181884765625, 258.55609130859375, 259.3160400390625, 311.328125), (342.45562744140625, 259.1260681152344, 259.45941162109375, 311.2082214355469)]","[(614.1478881835938, 388.1253662109375, 180.0555419921875, 258.0198974609375), (614.1478881835938, 388.1253662109375, 180.0555419921875, 258.0198974609375), (614.3453369140625, 388.3237609863281, 180.125732421875, 258.0640563964844), (614.515869140625, 388.7235107421875, 180.25848388671875, 258.07379150390625), (614.4716186523438, 389.0939025878906, 180.42498779296875, 257.8470764160156), (614.5858154296875, 388.9272766113281, 180.5439453125, 258.3069152832031), (614.5535278320312, 389.3599853515625, 180.5369873046875, 257.996337890625), (614.5535278320312, 389.3599853515625, 180.5369873046875, 257.996337890625), (614.5003662109375, 389.30230712890625, 180.80615234375, 258.18701171875), (614.5009155273438, 389.9312744140625, 180.85955810546875, 257.85498046875)]"
frame_000006,"[(472.0, 412.5), (472.1966552734375, 412.6664733886719), (472.43873596191406, 412.9662170410156), (472.5864715576172, 413.21722412109375), (472.4734344482422, 413.54083251953125), (472.8149719238281, 413.54112243652344), (472.8149719238281, 413.54112243652344), (472.9738311767578, 414.20909118652344), (472.9725646972656, 414.2074890136719), (472.5242462158203, 414.87713623046875)]","[(703.5, 515.5), (703.6508178710938, 515.6314239501953), (703.8544006347656, 515.8826446533203), (703.9573364257812, 516.0824127197266), (703.8872375488281, 516.3179016113281), (704.1981201171875, 516.3855895996094), (704.1981201171875, 516.3855895996094), (704.36474609375, 516.9481658935547), (704.2866516113281, 516.9755401611328), (703.7377624511719, 517.3558044433594)]","[(343.0, 257.0, 258.0, 311.0), (343.16815185546875, 257.149169921875, 258.0570068359375, 311.03460693359375), (343.3456726074219, 257.391357421875, 258.1861267089844, 311.14971923828125), (343.4767150878906, 257.651123046875, 258.2195129394531, 311.1322021484375), (343.1967468261719, 257.945068359375, 258.5533752441406, 311.1915283203125), (343.48028564453125, 257.9245910644531, 258.66937255859375, 311.2330627441406), (343.48028564453125, 257.9245910644531, 258.66937255859375, 311.2330627441406), (343.2485046386719, 258.3506164550781, 259.4506530761719, 311.7169494628906), (343.57305908203125, 258.533447265625, 258.79901123046875, 311.34808349609375), (343.1454162597656, 259.44818115234375, 258.7576599121094, 310.85791015625)]","[(612.0, 384.0, 183.0, 263.0), (612.1356201171875, 384.1241760253906, 183.0303955078125, 263.0144958496094), (612.3120727539062, 384.3442687988281, 183.08465576171875, 263.0767517089844), (612.3933715820312, 384.5818176269531, 183.1279296875, 263.0011901855469), (612.2144775390625, 384.80853271484375, 183.34552001953125, 263.01873779296875), (612.5326538085938, 384.9451904296875, 183.3309326171875, 262.88079833984375), (612.5326538085938, 384.9451904296875, 183.3309326171875, 262.88079833984375), (612.6026000976562, 385.2386169433594, 183.5242919921875, 263.4190979003906), (612.588134765625, 385.4956359863281, 183.39703369140625, 262.9598083496094), (612.010009765625, 386.03216552734375, 183.45550537109375, 262.64727783203125)]"
frame_000007,"[(472.1966552734375, 412.6664733886719), (472.43873596191406, 412.9662170410156), (472.5864715576172, 413.21722412109375), (472.4734344482422, 413.54083251953125), (472.8149719238281, 413.54112243652344), (472.8149719238281, 413.54112243652344), (472.9738311767578, 414.20909118652344), (472.9725646972656, 414.2074890136719), (472.5242462158203, 414.87713623046875), (472.1749267578125, 414.6553039550781)]","[(705.6502685546875, 516.6310882568359), (705.8531494140625, 516.8818206787109), (705.9554138183594, 517.0809020996094), (705.8853454589844, 517.3155517578125), (706.1947326660156, 517.3831329345703), (706.1947326660156, 517.3831329345703), (706.3603820800781, 517.9454040527344), (706.2822265625, 517.9724578857422), (705.7333679199219, 518.3504333496094), (705.9245910644531, 518.3179016113281)]","[(343.16815185546875, 257.149169921875, 258.0570068359375, 311.03460693359375), (343.3456726074219, 257.391357421875, 258.1861267089844, 311.14971923828125), (343.4767150878906, 257.651123046875, 258.2195129394531, 311.1322021484375), (343.1967468261719, 257.945068359375, 258.5533752441406, 311.1915283203125), (343.48028564453125, 257.9245910644531, 258.66937255859375, 311.2330627441406), (343.48028564453125, 257.9245910644531, 258.66937255859375, 311.2330627441406), (343.2485046386719, 258.3506164550781, 259.4506530761719, 311.7169494628906), (343.57305908203125, 258.533447265625, 258.79901123046875, 311.34808349609375), (343.1454162597656, 259.44818115234375, 258.7576599121094, 310.85791015625), (342.85711669921875, 259.12225341796875, 258.6356201171875, 311.06610107421875)]","[(614.1351318359375, 385.1238708496094, 183.0302734375, 263.0144348144531), (614.3111572265625, 385.3435974121094, 183.083984375, 263.0764465332031), (614.3916625976562, 385.58074951171875, 183.12750244140625, 263.00030517578125), (614.2130126953125, 385.80670166015625, 183.34466552734375, 263.0177001953125), (614.5301513671875, 385.9439392089844, 183.32916259765625, 262.8783874511719), (614.5301513671875, 385.9439392089844, 183.32916259765625, 262.8783874511719), (614.6009521484375, 386.236328125, 183.51885986328125, 263.41815185546875), (614.5847778320312, 386.4939270019531, 183.3948974609375, 262.9570617675781), (614.0064086914062, 387.02764892578125, 183.45391845703125, 262.64556884765625), (614.4356079101562, 387.07958984375, 182.97796630859375, 262.47662353515625)]"
frame_000008,"[(472.13629150390625, 412.6884460449219), (472.2906036376953, 412.8966522216797), (472.3972930908203, 413.0140686035156), (472.5243225097656, 413.11476135253906), (472.5243225097656, 413.11476135253906), (472.7712860107422, 413.39048767089844), (472.7359619140625, 413.9291534423828), (472.4354705810547, 414.20489501953125), (472.67552185058594, 414.24623107910156), (471.75396728515625, 414.6329345703125)]","[(705.0964050292969, 517.1480865478516), (705.2130126953125, 517.3172760009766), (705.2926635742188, 517.4368743896484), (705.3876647949219, 517.5612487792969), (705.3876647949219, 517.5612487792969), (705.5403747558594, 517.7960968017578), (705.6567687988281, 518.2986907958984), (705.2995300292969, 518.4563140869141), (705.4627990722656, 518.4365997314453), (704.6238708496094, 518.7736663818359)]","[(343.1075439453125, 257.18487548828125, 258.0574951171875, 311.00714111328125), (343.2401428222656, 257.3630676269531, 258.1009216308594, 311.0671691894531), (343.2864685058594, 257.4608154296875, 258.2216491699219, 311.10650634765625), (343.35467529296875, 257.5402526855469, 258.33929443359375, 311.1490173339844), (343.35467529296875, 257.5402526855469, 258.33929443359375, 311.1490173339844), (343.7016296386719, 257.8965148925781, 258.1393127441406, 310.9879455566406), (343.22271728515625, 258.4181213378906, 259.0264892578125, 311.0220642089844), (343.0179748535156, 258.75579833984375, 258.8349914550781, 310.898193359375), (343.5628967285156, 258.9284973144531, 258.2252502441406, 310.6354675292969), (342.217041015625, 259.1353759765625, 259.0738525390625, 310.9951171875)]","[(615.0802612304688, 388.1522521972656, 180.03228759765625, 257.9916687011719), (615.1859741210938, 388.3194274902344, 180.0540771484375, 257.9956970214844), (615.23681640625, 388.4396057128906, 180.1116943359375, 257.9945373535156), (615.3034057617188, 388.5882568359375, 180.16851806640625, 257.94598388671875), (615.3034057617188, 388.5882568359375, 180.16851806640625, 257.94598388671875), (615.4974975585938, 388.9536437988281, 180.08575439453125, 257.6849060058594), (615.4869995117188, 389.4642028808594, 180.33953857421875, 257.6689758300781), (615.110595703125, 389.6614074707031, 180.37786865234375, 257.5898132324219), (615.6380615234375, 389.9136657714844, 179.64947509765625, 257.0458679199219), (614.355224609375, 389.8919372558594, 180.53729248046875, 257.7634582519531)]"
frame_000009,"[(473.0530548095703, 413.60365295410156), (473.1687774658203, 413.6961669921875), (473.24989318847656, 413.7434997558594), (473.24989318847656, 413.7434997558594), (473.3962097167969, 414.01100158691406), (473.412353515625, 414.30462646484375), (473.1283264160156, 415.0843505859375), (473.4009246826172, 415.27842712402344), (472.7320556640625, 415.2083435058594), (472.7320556640625, 415.2083435058594)]","[(706.0382995605469, 516.0885620117188), (706.1201171875, 516.1788177490234), (706.2126159667969, 516.2775115966797), (706.2126159667969, 516.2775115966797), (706.3227233886719, 516.4892730712891), (706.0855407714844, 516.6803436279297), (706.1060180664062, 517.2816009521484), (705.7287292480469, 517.2630615234375), (705.6556396484375, 517.4250183105469), (705.6556396484375, 517.4250183105469)]","[(344.0463562011719, 258.0933532714844, 258.0133972167969, 311.0205993652344), (344.1152648925781, 258.15753173828125, 258.1070251464844, 311.0772705078125), (344.0318298339844, 258.158935546875, 258.4361267089844, 311.16912841796875), (344.0318298339844, 258.158935546875, 258.4361267089844, 311.16912841796875), (344.2230224609375, 258.3831481933594, 258.34637451171875, 311.2557067871094), (344.11712646484375, 258.87548828125, 258.5904541015625, 310.8582763671875), (343.74652099609375, 259.42919921875, 258.76361083984375, 311.310302734375), (343.9989929199219, 260.0668640136719, 258.8038635253906, 310.4231262207031), (343.5589599609375, 259.7552490234375, 258.34619140625, 310.90618896484375), (343.5589599609375, 259.7552490234375, 258.34619140625, 310.90618896484375)]","[(616.0377807617188, 387.09466552734375, 180.00103759765625, 257.98779296875), (616.0932006835938, 387.1808776855469, 180.0538330078125, 257.9958801269531), (616.1055297851562, 387.2850646972656, 180.21417236328125, 257.9848937988281), (616.1055297851562, 387.2850646972656, 180.21417236328125, 257.9848937988281), (616.252685546875, 387.5035705566406, 180.14007568359375, 257.9714050292969), (615.9230346679688, 387.7843933105469, 180.32501220703125, 257.7919006347656), (615.922607421875, 388.3074035644531, 180.3668212890625, 257.9483947753906), (615.460693359375, 388.475341796875, 180.53607177734375, 257.575439453125), (615.6119384765625, 388.63433837890625, 180.08740234375, 257.58135986328125), (615.6119384765625, 388.63433837890625, 180.08740234375, 257.58135986328125)]"
frame_000010,"[(473.07472229003906, 413.5389404296875), (473.1063232421875, 413.5816345214844), (473.1063232421875, 413.5816345214844), (473.1046905517578, 413.6956024169922), (473.20654296875, 414.0666809082031), (472.91307067871094, 414.6678771972656), (472.6629333496094, 414.3182067871094), (472.6311492919922, 415.08302307128906), (472.6311492919922, 415.08302307128906), (472.37701416015625, 415.1533966064453)]","[(705.0460815429688, 516.0505065917969), (705.086669921875, 516.1165161132812), (705.086669921875, 516.1165161132812), (705.0520324707031, 516.2125854492188), (705.114990234375, 516.5174255371094), (704.8979187011719, 516.9441070556641), (704.8802795410156, 516.8591156005859), (704.6986083984375, 517.37744140625), (704.6986083984375, 517.37744140625), (704.3160705566406, 517.3909759521484)]","[(344.0261535644531, 258.01519775390625, 258.0971374511719, 311.0474853515625), (344.0687255859375, 258.0306396484375, 258.0751953125, 311.10198974609375), (344.0687255859375, 258.0306396484375, 258.0751953125, 311.10198974609375), (343.8730773925781, 258.1776428222656, 258.4632263183594, 311.0359191894531), (344.14202880859375, 258.5494384765625, 258.1290283203125, 311.03448486328125), (343.5653991699219, 258.96832275390625, 258.6953430175781, 311.39910888671875), (343.42205810546875, 258.6829833984375, 258.48175048828125, 311.27044677734375), (343.2184143066406, 259.6449279785156, 258.8254699707031, 310.8761901855469), (343.2184143066406, 259.6449279785156, 258.8254699707031, 310.8761901855469), (342.910400390625, 259.8617858886719, 258.9332275390625, 310.5832214355469)]","[(615.0186767578125, 387.04205322265625, 180.0548095703125, 258.01690673828125), (615.0903930664062, 387.109130859375, 179.9925537109375, 258.0147705078125), (615.0903930664062, 387.109130859375, 179.9925537109375, 258.0147705078125), (614.9219360351562, 387.24224853515625, 180.26019287109375, 257.940673828125), (615.0878295898438, 387.60491943359375, 180.0543212890625, 257.82501220703125), (614.791748046875, 387.8487243652344, 180.21234130859375, 258.1907653808594), (614.8645629882812, 387.9710998535156, 180.03143310546875, 257.7760314941406), (614.6427001953125, 388.59185791015625, 180.11181640625, 257.5711669921875), (614.6427001953125, 388.59185791015625, 180.11181640625, 257.5711669921875), (614.0709838867188, 388.7443542480469, 180.49017333984375, 257.2932434082031)]"
