frame,left_hand,right_hand,left_bbox,right_bbox,text,video_id
frame_000001,"[(793.2982482910156, 636.7170715332031), (790.8575134277344, 637.3825073242188), (788.2818908691406, 635.3890991210938), (785.6996765136719, 631.5070648193359), (783.3306884765625, 628.1699371337891), (783.3306884765625, 628.1699371337891), (780.2939758300781, 625.3192443847656), (777.9583740234375, 622.4581604003906), (775.0776062011719, 619.9372253417969), (772.5555114746094, 617.3350219726562)]","[(1093.9891052246094, 794.1788330078125), (1091.9486694335938, 795.3409729003906), (1089.8975524902344, 792.9706726074219), (1087.5913391113281, 788.7381286621094), (1085.5804748535156, 785.1119689941406), (1085.5804748535156, 785.1119689941406), (1083.3984375, 782.1549072265625), (1081.4297485351562, 778.4356384277344), (1079.1983032226562, 774.7783203125), (1077.5308532714844, 770.7955932617188)]","[(708.0780029296875, 512.1896362304688, 170.44049072265625, 249.05487060546875), (705.3672485351562, 512.5151977539062, 170.98052978515625, 249.734619140625), (702.6585083007812, 509.97119140625, 171.24676513671875, 250.8358154296875), (699.718505859375, 506.4726257324219, 171.96234130859375, 250.06887817382812), (697.0259399414062, 503.1436462402344, 172.6094970703125, 250.05258178710938), (697.0259399414062, 503.1436462402344, 172.6094970703125, 250.05258178710938), (693.8884887695312, 499.77386474609375, 172.81097412109375, 251.09075927734375), (690.9390869140625, 496.7117919921875, 174.03857421875, 251.49273681640625), (687.554443359375, 493.35369873046875, 175.04632568359375, 253.16705322265625), (684.0260009765625, 490.50311279296875, 177.05902099609375, 253.663818359375)]","[(979.4828491210938, 645.4036865234375, 229.01251220703125, 297.55029296875), (977.0521240234375, 646.41552734375, 229.7930908203125, 297.85089111328125), (974.9901733398438, 643.3878173828125, 229.81475830078125, 299.16571044921875), (972.8222045898438, 639.8576049804688, 229.53826904296875, 297.76104736328125), (970.7296752929688, 636.5820922851562, 229.70159912109375, 297.05975341796875), (970.7296752929688, 636.5820922851562, 229.70159912109375, 297.05975341796875), (968.3187255859375, 633.0332641601562, 230.159423828125, 298.2432861328125), (966.308837890625, 629.2645263671875, 230.2418212890625, 298.34222412109375), (963.9072265625, 624.63623046875, 230.5821533203125, 300.2841796875), (961.4931030273438, 620.5731811523438, 232.07550048828125, 300.44482421875)]",identify wound,P05_05/frame_000001
frame_000002,"[(794.7779846191406, 641.7194213867188), (792.5267944335938, 638.9976348876953), (790.0184631347656, 635.8543395996094), (787.2871704101562, 631.9296569824219), (787.2871704101562, 631.9296569824219), (784.530517578125, 629.1325531005859), (782.410888671875, 626.1669616699219), (780.2196655273438, 623.2337799072266), (777.3017272949219, 621.1008605957031), (775.2796020507812, 618.2850494384766)]","[(1087.05517578125, 806.1270446777344), (1085.2786560058594, 803.1175842285156), (1083.2238159179688, 799.6146240234375), (1080.612548828125, 795.4674377441406), (1080.612548828125, 795.4674377441406), (1078.6755981445312, 792.4096374511719), (1076.701171875, 788.5989379882812), (1075.1763305664062, 784.5626525878906), (1073.3917541503906, 781.2019348144531), (1072.0976257324219, 777.2105712890625)]","[(708.1332397460938, 514.3770751953125, 173.28948974609375, 254.6846923828125), (705.6231689453125, 511.4379577636719, 173.8072509765625, 255.11935424804688), (702.8052368164062, 508.2237548828125, 174.42645263671875, 255.26116943359375), (699.7449340820312, 504.48345947265625, 175.08447265625, 254.89239501953125), (699.7449340820312, 504.48345947265625, 175.08447265625, 254.89239501953125), (696.7939453125, 501.3055114746094, 175.47314453125, 255.65408325195312), (693.9141235351562, 497.9185791015625, 176.9935302734375, 256.49676513671875), (690.94677734375, 494.6640930175781, 178.5457763671875, 257.1393737792969), (687.6268310546875, 491.92401123046875, 179.34979248046875, 258.35369873046875), (684.5271606445312, 488.9421081542969, 181.5048828125, 258.6858825683594)]","[(972.4530029296875, 656.9032592773438, 229.204345703125, 298.44757080078125), (970.4813842773438, 653.7975463867188, 229.59454345703125, 298.64007568359375), (968.4560546875, 650.4177856445312, 229.5355224609375, 298.3936767578125), (965.8040771484375, 646.7583618164062, 229.616943359375, 297.41815185546875), (965.8040771484375, 646.7583618164062, 229.616943359375, 297.41815185546875), (963.6551513671875, 643.4285888671875, 230.0408935546875, 297.96209716796875), (961.560791015625, 639.2618408203125, 230.28076171875, 298.6741943359375), (959.3988037109375, 635.0151977539062, 231.5550537109375, 299.09490966796875), (957.4562377929688, 631.0142822265625, 231.87103271484375, 300.37530517578125), (955.6314086914062, 627.3634033203125, 232.93243408203125, 299.6943359375)]",identify wound,P05_05/frame_000002
frame_000003,"[(795.6095275878906, 633.1263732910156), (792.6141967773438, 629.8600463867188), (790.2734680175781, 626.5913543701172), (790.2734680175781, 626.5913543701172), (787.4258422851562, 623.2932891845703), (784.4861755371094, 620.9278259277344), (782.6041564941406, 617.7448120117188), (780.0071716308594, 614.9751129150391), (777.3855590820312, 611.5160827636719), (777.3855590820312, 611.5160827636719)]","[(1082.9131164550781, 802.7759704589844), (1080.3515930175781, 799.203857421875), (1078.3041076660156, 795.6347961425781), (1078.3041076660156, 795.6347961425781), (1075.9049377441406, 792.016357421875), (1073.7067260742188, 789.1719665527344), (1072.6606140136719, 784.6345520019531), (1070.6767578125, 780.4191284179688), (1068.8714294433594, 776.4129638671875), (1068.8714294433594, 776.4129638671875)]","[(708.7769775390625, 505.94183349609375, 173.66510009765625, 254.36907958984375), (705.4580078125, 502.48516845703125, 174.3123779296875, 254.749755859375), (702.73193359375, 499.1983337402344, 175.08306884765625, 254.78604125976562), (702.73193359375, 499.1983337402344, 175.08306884765625, 254.78604125976562), (699.5494995117188, 495.8077087402344, 175.752685546875, 254.97116088867188), (696.2969360351562, 492.4521484375, 176.37847900390625, 256.95135498046875), (693.5741577148438, 489.4630126953125, 178.05999755859375, 256.5635986328125), (690.0753173828125, 486.3336486816406, 179.86370849609375, 257.2829284667969), (687.0656127929688, 482.568115234375, 180.639892578125, 257.89593505859375), (687.0656127929688, 482.568115234375, 180.639892578125, 257.89593505859375)]","[(961.3799438476562, 644.7786865234375, 243.06634521484375, 315.99456787109375), (958.6456909179688, 641.1553344726562, 243.41180419921875, 316.0970458984375), (956.5900268554688, 637.8975830078125, 243.42816162109375, 315.47442626953125), (956.5900268554688, 637.8975830078125, 243.42816162109375, 315.47442626953125), (953.9788208007812, 634.33447265625, 243.85223388671875, 315.36376953125), (951.559326171875, 630.2601928710938, 244.2947998046875, 317.82354736328125), (949.8854370117188, 626.2183837890625, 245.55035400390625, 316.83233642578125), (947.18408203125, 621.877197265625, 246.9853515625, 317.0838623046875), (944.8969116210938, 617.3851318359375, 247.94903564453125, 318.0556640625), (944.8969116210938, 617.3851318359375, 247.94903564453125, 318.0556640625)]",identify wound,P05_05/frame_000003
frame_000004,"[(795.9868774414062, 629.9395141601562), (793.4703063964844, 626.6954498291016), (793.4703063964844, 626.6954498291016), (791.0138854980469, 623.5250549316406), (788.3974609375, 620.7112121582031), (785.8826293945312, 617.6481781005859), (783.4173889160156, 615.1768798828125), (780.7157592773438, 611.8074035644531), (780.7157592773438, 611.8074035644531), (778.3959350585938, 609.4592895507812)]","[(1074.8243713378906, 804.5700378417969), (1072.6627197265625, 801.0072631835938), (1072.6627197265625, 801.0072631835938), (1070.5958251953125, 797.6182250976562), (1068.7704772949219, 794.2384338378906), (1067.0142517089844, 789.9389038085938), (1065.4354248046875, 786.2740478515625), (1063.6944885253906, 782.0230102539062), (1063.6944885253906, 782.0230102539062), (1061.6744689941406, 778.9587707519531)]","[(709.162353515625, 502.81170654296875, 173.6490478515625, 254.255615234375), (706.333740234375, 499.4660949707031, 174.27313232421875, 254.45870971679688), (706.333740234375, 499.4660949707031, 174.27313232421875, 254.45870971679688), (703.4408569335938, 496.0433349609375, 175.14605712890625, 254.96343994140625), (700.3552856445312, 492.80865478515625, 176.0843505859375, 255.80511474609375), (697.1886596679688, 489.4977722167969, 177.387939453125, 256.3008117675781), (694.2086181640625, 486.70465087890625, 178.41754150390625, 256.9444580078125), (690.5595092773438, 483.16729736328125, 180.3125, 257.28021240234375), (690.5595092773438, 483.16729736328125, 180.3125, 257.28021240234375), (688.2269897460938, 480.112060546875, 180.337890625, 258.6944580078125)]","[(950.7330932617188, 643.6461181640625, 248.18255615234375, 321.84783935546875), (948.488525390625, 640.2689208984375, 248.348388671875, 321.4766845703125), (948.488525390625, 640.2689208984375, 248.348388671875, 321.4766845703125), (946.33642578125, 636.8180541992188, 248.518798828125, 321.600341796875), (944.0471801757812, 632.888671875, 249.44659423828125, 322.69952392578125), (941.7402954101562, 628.4613647460938, 250.54791259765625, 322.955078125), (939.874755859375, 624.536376953125, 251.121337890625, 323.475341796875), (937.1296997070312, 620.1954956054688, 253.12957763671875, 323.655029296875), (937.1296997070312, 620.1954956054688, 253.12957763671875, 323.655029296875), (935.2549438476562, 616.2630004882812, 252.83905029296875, 325.39154052734375)]",identify wound,P05_05/frame_000004
frame_000005,"[(798.5707092285156, 625.9437713623047), (798.5707092285156, 625.9437713623047), (795.9241943359375, 622.4070587158203), (793.181884765625, 619.3441162109375), (791.30908203125, 617.1526641845703), (788.0343017578125, 614.1925811767578), (785.5765686035156, 611.1474456787109), (785.5765686035156, 611.1474456787109), (783.3058166503906, 607.7147827148438), (781.2420043945312, 605.4727172851562)]","[(1068.4731750488281, 806.8208312988281), (1068.4731750488281, 806.8208312988281), (1066.0542297363281, 802.9006042480469), (1064.0235595703125, 799.1389465332031), (1063.09814453125, 795.9443359375), (1060.729736328125, 792.0467224121094), (1058.9273681640625, 788.0073852539062), (1058.9273681640625, 788.0073852539062), (1057.2649841308594, 783.4550476074219), (1055.8884887695312, 780.6677551269531)]","[(715.2139892578125, 503.6553649902344, 166.71343994140625, 244.57681274414062), (715.2139892578125, 503.6553649902344, 166.71343994140625, 244.57681274414062), (712.2931518554688, 500.1500549316406, 167.2620849609375, 244.51400756835938), (709.085693359375, 496.85552978515625, 168.1923828125, 244.9771728515625), (706.6795654296875, 494.0151672363281, 169.259033203125, 246.27499389648438), (702.7418823242188, 490.3149719238281, 170.5848388671875, 247.75521850585938), (699.7824096679688, 487.2883605957031, 171.58831787109375, 247.71817016601562), (699.7824096679688, 487.2883605957031, 171.58831787109375, 247.71817016601562), (696.5327758789062, 483.8170166015625, 173.54608154296875, 247.7955322265625), (694.4977416992188, 481.1356201171875, 173.488525390625, 248.6741943359375)]","[(946.8289184570312, 648.6378173828125, 243.28851318359375, 316.36602783203125), (946.8289184570312, 648.6378173828125, 243.28851318359375, 316.36602783203125), (944.4024047851562, 645.0927734375, 243.30364990234375, 315.61566162109375), (942.000732421875, 641.1795654296875, 244.045654296875, 315.91876220703125), (940.633544921875, 637.1312255859375, 244.92919921875, 317.626220703125), (937.5260009765625, 632.3098754882812, 246.407470703125, 319.47369384765625), (935.4254150390625, 628.5670166015625, 247.00390625, 318.8807373046875), (935.4254150390625, 628.5670166015625, 247.00390625, 318.8807373046875), (932.7462768554688, 624.2630615234375, 249.03741455078125, 318.38397216796875), (931.4837646484375, 620.73291015625, 248.8094482421875, 319.86968994140625)]",identify wound,P05_05/frame_000005
frame_000006,"[(803.0, 622.0), (800.6244201660156, 618.8469390869141), (797.9869689941406, 615.8194122314453), (795.4743957519531, 613.002685546875), (793.3809814453125, 610.2255401611328), (789.8063659667969, 607.0128479003906), (789.8063659667969, 607.0128479003906), (788.6728515625, 604.4205932617188), (785.9972534179688, 601.7190246582031), (784.1013488769531, 598.5937347412109)]","[(1061.0, 806.0), (1059.0768737792969, 802.6542053222656), (1057.1841735839844, 799.0014038085938), (1055.605224609375, 795.1290283203125), (1054.1371459960938, 791.1507873535156), (1051.6243286132812, 787.2692260742188), (1051.6243286132812, 787.2692260742188), (1050.9612426757812, 783.8282775878906), (1048.8787841796875, 780.2444152832031), (1047.5412292480469, 776.2600708007812)]","[(720.0, 500.0, 166.0, 244.0), (717.2673950195312, 496.7183532714844, 166.71405029296875, 244.25717163085938), (714.1166381835938, 493.3325500488281, 167.74066162109375, 244.97372436523438), (710.9373168945312, 490.12579345703125, 169.07415771484375, 245.7537841796875), (708.2481079101562, 486.9911193847656, 170.2657470703125, 246.46884155273438), (704.170654296875, 483.61834716796875, 171.27142333984375, 246.78900146484375), (704.170654296875, 483.61834716796875, 171.27142333984375, 246.78900146484375), (702.5122680664062, 480.90728759765625, 172.3211669921875, 247.026611328125), (699.431640625, 477.67010498046875, 173.1312255859375, 248.09783935546875), (697.0330200195312, 474.3244934082031, 174.13665771484375, 248.53848266601562)]","[(942.0, 651.0, 238.0, 310.0), (939.8982543945312, 647.6746215820312, 238.35723876953125, 309.95916748046875), (937.5770874023438, 643.7026977539062, 239.21417236328125, 310.597412109375), (935.364990234375, 639.4313354492188, 240.48046875, 311.3953857421875), (933.5079345703125, 635.2589721679688, 241.2584228515625, 311.78363037109375), (930.30859375, 631.0501708984375, 242.6314697265625, 312.4381103515625), (930.30859375, 631.0501708984375, 242.6314697265625, 312.4381103515625), (929.4456787109375, 627.6951293945312, 243.0311279296875, 312.26629638671875), (926.996826171875, 623.59521484375, 243.763916015625, 313.29840087890625), (925.1331176757812, 619.3829956054688, 244.81622314453125, 313.754150390625)]",identify wound,P05_05/frame_000006
frame_000007,"[(802.6224060058594, 615.8437957763672), (799.97900390625, 612.8075256347656), (797.4550170898438, 609.9813385009766), (795.3493347167969, 607.1955261230469), (791.7722778320312, 603.9790344238281), (791.7722778320312, 603.9790344238281), (790.6320495605469, 601.3839569091797), (787.9490051269531, 598.6693420410156), (786.0372619628906, 595.5387115478516), (785.1331787109375, 592.9023284912109)]","[(1051.0728149414062, 799.6636657714844), (1049.1691284179688, 796.0341186523438), (1047.5775146484375, 792.1969299316406), (1046.1058959960938, 788.2559509277344), (1043.5692443847656, 784.3966369628906), (1043.5692443847656, 784.3966369628906), (1042.9101257324219, 780.9847717285156), (1040.8154296875, 777.4290771484375), (1039.4737243652344, 773.4700927734375), (1038.7542114257812, 770.0870361328125)]","[(719.26611328125, 493.7143249511719, 166.71258544921875, 244.25894165039062), (716.1098022460938, 490.318603515625, 167.7384033203125, 244.97784423828125), (712.9195556640625, 487.1015930175781, 169.0709228515625, 245.75949096679688), (710.2182006835938, 483.95465087890625, 170.26226806640625, 246.48175048828125), (706.1389770507812, 480.58074951171875, 171.2666015625, 246.79656982421875), (706.1389770507812, 480.58074951171875, 171.2666015625, 246.79656982421875), (704.475341796875, 477.8668518066406, 172.31341552734375, 247.03421020507812), (701.3864135742188, 474.612060546875, 173.12518310546875, 248.11456298828125), (698.9718017578125, 471.2597351074219, 174.13092041015625, 248.55795288085938), (697.9299926757812, 468.5583190917969, 174.4063720703125, 248.68801879882812)]","[(931.8858642578125, 644.6796875, 238.3739013671875, 309.96795654296875), (929.546875, 640.7274780273438, 239.2445068359375, 310.61328125), (927.3157958984375, 636.4879150390625, 240.5234375, 311.41802978515625), (925.4454345703125, 632.347412109375, 241.3209228515625, 311.81707763671875), (922.2219848632812, 628.1611328125, 242.69451904296875, 312.47100830078125), (922.2219848632812, 628.1611328125, 242.69451904296875, 312.47100830078125), (921.3491821289062, 624.8281860351562, 243.12188720703125, 312.31317138671875), (918.8848876953125, 620.7542724609375, 243.861083984375, 313.349609375), (917.0145874023438, 616.5661010742188, 244.91827392578125, 313.8079833984375), (916.346435546875, 613.1455688476562, 244.8155517578125, 313.8829345703125)]",identify wound,P05_05/frame_000007
frame_000008,"[(801.962890625, 610.5202941894531), (799.2863464355469, 607.6744689941406), (796.6542358398438, 604.5418243408203), (794.3326721191406, 601.6626586914062), (794.3326721191406, 601.6626586914062), (792.0271911621094, 598.93115234375), (789.5664367675781, 595.8699951171875), (788.3609924316406, 593.1633148193359), (787.1290588378906, 590.5471343994141), (783.7448425292969, 587.5214996337891)]","[(1040.6993103027344, 798.4406433105469), (1039.0900573730469, 794.7672424316406), (1037.2650756835938, 790.5482482910156), (1035.7659912109375, 786.91064453125), (1035.7659912109375, 786.91064453125), (1034.0453186035156, 783.5296630859375), (1032.1728210449219, 779.6227416992188), (1031.42431640625, 776.0640869140625), (1030.4165344238281, 772.6518249511719), (1027.6920166015625, 769.13916015625)]","[(719.9419555664062, 490.7000732421875, 164.0418701171875, 239.64044189453125), (716.5877685546875, 487.32550048828125, 165.39715576171875, 240.69793701171875), (713.3466186523438, 484.0636901855469, 166.615234375, 240.95626831054688), (710.4658203125, 480.9337158203125, 167.73370361328125, 241.4578857421875), (710.4658203125, 480.9337158203125, 167.73370361328125, 241.4578857421875), (707.7947387695312, 477.7607421875, 168.46490478515625, 242.3408203125), (704.7532958984375, 474.4327392578125, 169.62628173828125, 242.87451171875), (703.3262329101562, 471.6225891113281, 170.06951904296875, 243.08145141601562), (701.8287963867188, 468.8797302246094, 170.60052490234375, 243.33480834960938), (698.0238647460938, 465.8968811035156, 171.44195556640625, 243.24923706054688)]","[(923.7665405273438, 646.18310546875, 233.86553955078125, 304.51507568359375), (921.4223022460938, 641.85205078125, 235.33551025390625, 305.83038330078125), (919.074462890625, 637.6578369140625, 236.3812255859375, 305.78082275390625), (917.0714111328125, 633.7806396484375, 237.38916015625, 306.260009765625), (917.0714111328125, 633.7806396484375, 237.38916015625, 306.260009765625), (915.0599975585938, 629.9337158203125, 237.97064208984375, 307.19189453125), (912.6389770507812, 625.9243774414062, 239.06768798828125, 307.396728515625), (911.7784423828125, 622.1851196289062, 239.291748046875, 307.7579345703125), (910.6880493164062, 618.7512817382812, 239.45697021484375, 307.80108642578125), (907.3262939453125, 615.2987060546875, 240.7314453125, 307.680908203125)]",identify wound,P05_05/frame_000008
frame_000009,"[(800.0145263671875, 604.2645568847656), (797.7474670410156, 601.732421875), (795.7638244628906, 598.9385528564453), (795.7638244628906, 598.9385528564453), (792.9990539550781, 595.810791015625), (791.1167907714844, 593.3565673828125), (788.9240417480469, 590.0703430175781), (786.1084289550781, 586.9008026123047), (785.2695922851562, 584.4771118164062), (785.2695922851562, 584.4771118164062)]","[(1032.4759216308594, 794.9933166503906), (1031.1009216308594, 791.4029846191406), (1029.7822875976562, 787.8189697265625), (1029.7822875976562, 787.8189697265625), (1027.8052673339844, 784.0244750976562), (1026.427490234375, 781.0001831054688), (1024.9808959960938, 776.6982727050781), (1021.8805236816406, 772.7169799804688), (1022.0030212402344, 769.875), (1022.0030212402344, 769.875)]","[(714.401611328125, 479.29571533203125, 171.225830078125, 249.93768310546875), (711.4566040039062, 476.3883056640625, 172.58172607421875, 250.688232421875), (708.995361328125, 473.3981628417969, 173.53692626953125, 251.08078002929688), (708.995361328125, 473.3981628417969, 173.53692626953125, 251.08078002929688), (705.6456298828125, 469.99664306640625, 174.70684814453125, 251.6282958984375), (703.474609375, 467.0115966796875, 175.28436279296875, 252.68994140625), (700.5752563476562, 463.6412353515625, 176.69757080078125, 252.85821533203125), (697.9397583007812, 460.3927917480469, 176.33734130859375, 253.01602172851562), (696.2728271484375, 457.7330322265625, 177.9935302734375, 253.4881591796875), (696.2728271484375, 457.7330322265625, 177.9935302734375, 253.4881591796875)]","[(915.2809448242188, 642.3939819335938, 234.38995361328125, 305.19866943359375), (913.3948364257812, 638.5547485351562, 235.41217041015625, 305.69647216796875), (911.77880859375, 634.8654174804688, 236.0069580078125, 305.9071044921875), (911.77880859375, 634.8654174804688, 236.0069580078125, 305.9071044921875), (909.2178344726562, 630.8538818359375, 237.17486572265625, 306.3411865234375), (907.609619140625, 627.1602172851562, 237.6357421875, 307.679931640625), (905.516845703125, 623.0181884765625, 238.9281005859375, 307.36016845703125), (902.8413696289062, 619.2960815429688, 238.07830810546875, 306.841796875), (902.0925903320312, 616.0738525390625, 239.82086181640625, 307.602294921875), (902.0925903320312, 616.0738525390625, 239.82086181640625, 307.602294921875)]",identify wound,P05_05/frame_000009
frame_000010,"[(796.2917175292969, 602.5298461914062), (793.4571533203125, 599.5807342529297), (793.4571533203125, 599.5807342529297), (791.1919555664062, 596.4634857177734), (788.8594360351562, 593.7208404541016), (786.9435424804688, 590.9140319824219), (785.3984985351562, 588.0950775146484), (783.5050659179688, 585.1246948242188), (783.5050659179688, 585.1246948242188), (782.1236877441406, 583.4833984375)]","[(1020.6494140625, 780.1543579101562), (1018.5669860839844, 776.5188903808594), (1018.5669860839844, 776.5188903808594), (1016.9447021484375, 772.6263122558594), (1015.2301940917969, 769.3096008300781), (1013.7178955078125, 765.8351135253906), (1012.7201232910156, 762.1779479980469), (1011.1666259765625, 758.991455078125), (1011.1666259765625, 758.991455078125), (1009.8850708007812, 757.2599487304688)]","[(707.6552734375, 472.71832275390625, 177.27288818359375, 259.623046875), (704.2369995117188, 469.3562927246094, 178.4403076171875, 260.4488830566406), (704.2369995117188, 469.3562927246094, 178.4403076171875, 260.4488830566406), (701.2431030273438, 465.9556579589844, 179.897705078125, 261.0156555175781), (698.5756225585938, 462.8902893066406, 180.567626953125, 261.6611022949219), (696.457763671875, 459.751220703125, 180.9715576171875, 262.32562255859375), (694.2340698242188, 456.8648376464844, 182.328857421875, 262.4604797363281), (692.1510620117188, 453.9522705078125, 182.7080078125, 262.3448486328125), (692.1510620117188, 453.9522705078125, 182.7080078125, 262.3448486328125), (690.552001953125, 452.35540771484375, 183.14337158203125, 262.2559814453125)]","[(898.560791015625, 621.8530883789062, 244.17724609375, 316.6025390625), (895.9296264648438, 617.817138671875, 245.27471923828125, 317.40350341796875), (895.9296264648438, 617.817138671875, 245.27471923828125, 317.40350341796875), (893.698974609375, 613.8585205078125, 246.491455078125, 317.53558349609375), (891.6000366210938, 610.0711669921875, 247.26031494140625, 318.47686767578125), (889.911376953125, 606.1431274414062, 247.613037109375, 319.38397216796875), (888.3910522460938, 602.6537475585938, 248.65814208984375, 319.04840087890625), (886.5018310546875, 599.3059692382812, 249.32958984375, 319.3709716796875), (886.5018310546875, 599.3059692382812, 249.32958984375, 319.3709716796875), (885.1181640625, 597.7141723632812, 249.5338134765625, 319.091552734375)]",identify wound,P05_05/frame_000010
